,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,throughput
33,2017-07-05T23:31:11.872,63569.0,started,540.55,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,27.0
34,2017-07-05T23:32:11.872,27072.0,started,538.19,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,46.0
35,2017-07-05T23:33:11.872,56049.0,started,538.19,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,29.0
36,2017-07-05T23:34:11.872,19552.0,started,537.99,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,49.0
37,2017-07-05T23:35:11.877,48575.0,started,537.99,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,57.0
38,2017-07-05T23:36:11.877,12047.0,started,537.99,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,45.0
39,2017-07-05T23:37:11.877,41039.0,started,537.99,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,35.0
40,2017-07-05T23:38:11.877,4526.0,started,537.99,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,34.0
41,2017-07-05T23:39:11.877,33505.0,started,537.99,ft/min,55,3000400,2017-05-30T10:06:22,2017-07-05T23:38:47,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,48.0
42,2017-07-05T23:40:11.877,62512.0,started,537.99,ft/min,55,3000400,2017-05-30T10:06:22,2017-07-05T23:38:47,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,31.0
43,2017-07-05T23:41:11.877,26015.0,started,537.99,ft/min,55,3000400,2017-05-30T10:06:22,2017-07-05T23:38:47,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,57.0
44,2017-07-05T23:42:11.929,55263.0,started,537.99,ft/min,55,3000400,2017-05-30T10:06:22,2017-07-05T23:38:47,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,69.0
