timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime
2017-07-07T23:41:13.313,52826.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:42:13.313,16328.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:43:13.318,45366.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:44:13.313,8868.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:45:13.313,37876.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:46:13.318,1393.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:47:13.318,30446.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:48:13.318,59469.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:49:13.318,22956.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:49:34.576,9829.0,stopped,0.0,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
