,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
35,2017-08-10T23:33:17.760,17682.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,60.0
36,2017-08-10T23:34:17.756,46795.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,87.0
37,2017-08-10T23:35:17.756,10312.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,58.0
38,2017-08-10T23:36:17.756,39350.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,41.0
39,2017-08-10T23:37:17.756,2867.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,60.0
40,2017-08-10T23:38:17.756,31935.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,60.0
41,2017-08-10T23:39:17.756,61018.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,71.0
42,2017-08-10T23:40:17.756,24535.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,61.0
43,2017-08-10T23:41:17.756,53588.0,started,540.55,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,42.0
44,2017-08-10T23:42:17.756,17120.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,55.0
45,2017-08-10T23:43:17.756,46173.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,36.0
46,2017-08-10T23:44:17.762,9675.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,23.0
47,2017-08-10T23:45:17.762,38713.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,45.0
48,2017-08-10T23:46:17.762,2230.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,48.0
49,2017-08-10T23:47:17.762,31283.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,41.0
50,2017-08-10T23:48:17.762,60321.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,43.0
51,2017-08-10T23:49:17.762,23823.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,52.0
52,2017-08-10T23:50:17.762,52861.0,started,539.76,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,70.0
53,2017-08-10T23:51:17.765,16468.0,started,541.73,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,99.0
54,2017-08-10T23:52:17.762,45551.0,started,537.99,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,67.0
55,2017-08-10T23:53:17.762,9083.0,started,537.99,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,62.0
56,2017-08-10T23:54:17.767,38196.0,started,536.81,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,70.0
57,2017-08-10T23:55:17.767,1743.0,started,540.16,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,51.0
58,2017-08-10T23:56:17.767,30856.0,started,540.16,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,83.0
59,2017-08-10T23:57:17.851,60224.0,started,540.16,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,87.0
60,2017-08-10T23:58:17.767,23591.0,started,540.55,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,64.0
61,2017-08-10T23:59:17.767,52689.0,started,541.73,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,44.0
62,2017-08-11T00:00:17.767,16251.0,started,540.16,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,54.0
63,2017-08-11T00:01:17.767,45319.0,started,540.16,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,49.0
64,2017-08-11T00:02:17.767,8926.0,started,541.93,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,66.0
65,2017-08-11T00:03:17.767,38114.0,started,540.94,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,79.0
66,2017-08-11T00:04:17.781,1721.0,started,537.6,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,67.0
67,2017-08-11T00:05:17.782,30834.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,48.0
68,2017-08-11T00:06:17.781,59917.0,started,537.6,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,48.0
69,2017-08-11T00:07:17.781,23464.0,started,537.6,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,43.0
70,2017-08-11T00:08:17.781,52622.0,started,537.99,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,76.0
71,2017-08-11T00:09:17.781,16229.0,started,538.39,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,87.0
72,2017-08-11T00:10:17.781,45342.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,70.0
73,2017-08-11T00:11:17.781,8904.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,64.0
74,2017-08-11T00:12:17.781,38032.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,83.0
75,2017-08-11T00:13:17.781,1609.0,started,541.14,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,82.0
76,2017-08-11T00:14:17.777,30737.0,started,541.14,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,86.0
77,2017-08-11T00:15:17.777,59850.0,started,539.37,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,61.0
