devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-23T12:27:22.307,29714.0,0089PS06CT12017-07-23T12:27:20801,7671.0,2017-07-23T12:27:20.252,11.49,inch,106.0,ms,19.37,inch,FC300008,11.6,inch,5.6,5.6,5.0,degree/10,3638.0,inch3/10,0.0,inch3/10,2746.0,mm/sec,537.01,ft/min,2.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:22.668,30689.0,0089PS06CT12017-07-23T12:27:20802,7672.0,2017-07-23T12:27:20.630,11.49,inch,107.0,ms,29.09,inch,FC300008,11.0,inch,9.2,4.8,-14.0,degree/10,4858.0,inch3/10,0.0,inch3/10,2741.0,mm/sec,537.01,ft/min,1.3,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:22.973,31499.0,0089PS06CT12017-07-23T12:27:20803,7673.0,2017-07-23T12:27:20.957,11.49,inch,107.0,ms,20.0,inch,FC300008,10.2,inch,12.2,6.8,842.0,degree/10,8462.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,537.01,ft/min,5.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:23.697,33434.0,0089PS06CT12017-07-23T12:27:21804,7674.0,2017-07-23T12:27:21.660,29.68,inch,275.0,ms,49.72,inch,FC300008,29.6,inch,18.2,10.0,-29.0,degree/10,53872.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,33.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:24.294,35024.0,0089PS06CT12017-07-23T12:27:22805,7675.0,2017-07-23T12:27:22.254,25.47,inch,235.0,ms,38.77,inch,FC300008,25.0,inch,11.6,8.8,9.0,degree/10,25520.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,42.3,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:27.044,42359.0,0089PS06CT12017-07-23T12:27:24806,7676.0,2017-07-23T12:27:24.989,58.18,inch,540.0,ms,237.12,inch,FC300008,58.2,inch,16.8,12.4,-4.0,degree/10,121242.0,inch3/10,0.0,inch3/10,2775.0,mm/sec,537.01,ft/min,25.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:28.192,45419.0,0089PS06CT12017-07-23T12:27:26807,7677.0,2017-07-23T12:27:26.119,19.37,inch,180.0,ms,102.48,inch,FC300008,18.8,inch,27.0,17.2,891.0,degree/10,87307.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,19.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:29.008,47594.0,0089PS06CT12017-07-23T12:27:26808,7678.0,2017-07-23T12:27:26.953,13.3,inch,125.0,ms,76.41,inch,FC300008,12.8,inch,16.2,7.8,863.0,degree/10,16174.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,5.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:29.662,49349.0,0089PS06CT12017-07-23T12:27:27809,7679.0,2017-07-23T12:27:27.611,26.65,inch,247.0,ms,44.25,inch,FC300008,26.2,inch,26.8,12.2,895.0,degree/10,85664.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,537.01,ft/min,30.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:30.460,51479.0,0089PS06CT12017-07-23T12:27:28810,7680.0,2017-07-23T12:27:28.420,19.37,inch,179.0,ms,67.91,inch,FC300008,19.2,inch,18.2,13.2,4.0,degree/10,46126.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,537.01,ft/min,26.9,LB,0,1,1,0,0,0,0,1,1,0,0
