timestamp,oga,ole,owi,ohe,oa,obv,otve,speed,owe,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,timeInterval
2017-07-23 12:28:07.542,51.53,14.8,19.2,6.0,-746.0,17050.0,2773.0,538.19,3.1,0,0,1,0,0,0,0,1,1,0.669
2017-07-23 12:28:08.021,39.4,11.6,14.4,11.8,870.0,19711.0,2757.0,538.19,13.3,0,0,1,0,0,0,0,1,1,0.47900000000000004
2017-07-23 12:28:09.130,93.97,24.6,18.6,9.2,-3.0,42096.0,2778.0,538.19,19.7,0,0,1,0,0,0,0,1,1,1.109
2017-07-23 12:28:10.541,127.36,25.2,18.8,9.4,-3.0,44533.0,2762.0,538.19,19.3,0,0,1,0,0,0,0,1,1,1.411
2017-07-23 12:28:11.353,73.38,14.2,9.4,9.8,-5.0,13081.0,2765.0,538.19,6.0,0,0,1,0,0,0,0,1,1,0.812
2017-07-23 12:28:11.734,24.25,17.8,11.8,10.4,-12.0,21844.0,2773.0,538.19,36.0,0,0,1,0,0,0,0,1,1,0.381
2017-07-23 12:28:14.144,245.0,12.8,17.8,7.2,-858.0,16404.0,2751.0,538.19,18.2,0,0,1,0,0,0,0,1,1,2.41
2017-07-23 12:28:15.902,160.7,28.4,19.4,19.4,-17.0,106886.0,2812.0,538.19,31.6,0,0,1,0,0,0,0,1,1,1.758
2017-07-23 12:28:16.171,18.18,9.0,9.4,11.2,870.0,9475.0,2757.0,538.19,3.2,0,0,1,0,0,0,0,1,1,0.269
2017-07-23 12:28:17.388,109.76,19.6,24.8,8.8,-850.0,42775.0,2751.0,538.19,19.7,0,0,1,0,0,0,0,1,1,1.217
2017-07-23 12:28:18.319,75.19,25.2,18.6,10.2,-8.0,47809.0,2797.0,538.19,22.1,0,0,1,0,0,0,0,1,1,0.931
2017-07-23 12:28:18.981,53.34,19.6,18.2,12.8,-13.0,45660.0,2762.0,538.19,27.0,0,1,1,0,0,0,0,1,1,0.662
2017-07-23 12:28:20.463,131.57,25.2,18.6,10.0,-12.0,46872.0,2778.0,538.19,21.5,0,0,1,0,0,0,0,1,1,1.482
2017-07-23 12:28:22.004,146.77,21.8,11.2,10.4,-25.0,25393.0,2746.0,538.19,22.5,0,0,1,0,0,0,0,1,1,1.5410000000000001
2017-07-23 12:28:23.209,112.16,18.6,13.2,12.6,3.0,30936.0,2773.0,538.19,43.4,0,1,1,0,0,0,0,1,1,1.205
2017-07-23 12:28:24.193,52.12,52.4,28.4,3.8,-3.0,56550.0,2810.0,538.19,34.8,0,0,1,0,0,0,0,1,1,0.9840000000000001
2017-07-23 12:28:25.378,109.76,16.4,22.6,14.2,862.0,52631.0,2791.0,538.19,22.5,0,0,0,0,1,0,0,0,1,1.185
2017-07-23 12:28:26.382,81.85,24.4,18.6,9.4,-9.0,42661.0,2767.0,538.19,19.8,0,0,1,0,0,0,0,1,1,1.004
2017-07-23 12:28:27.999,149.17,24.4,18.8,9.4,-9.0,43120.0,2746.0,541.93,19.7,0,0,1,0,0,0,0,1,1,1.617
2017-07-23 12:28:29.076,97.63,19.4,12.6,11.0,-27.0,26888.0,2773.0,541.93,30.8,0,0,1,0,0,0,0,1,1,1.077
2017-07-23 12:28:29.681,27.87,36.8,21.0,5.2,-14.0,40186.0,2789.0,541.93,57.1,0,1,1,0,0,0,0,1,1,0.605
2017-07-23 12:28:30.122,28.5,18.2,12.6,12.6,-16.0,28894.0,2762.0,541.93,16.9,0,0,1,0,0,0,0,1,1,0.441
2017-07-23 12:28:30.700,40.0,19.0,14.4,12.0,-22.0,32832.0,2783.0,537.6,11.7,0,0,1,0,0,0,0,1,1,0.5780000000000001
2017-07-23 12:28:31.185,27.87,23.4,13.2,15.8,-14.0,48803.0,2762.0,537.6,19.6,0,0,1,0,0,0,0,1,1,0.48500000000000004
2017-07-23 12:28:31.671,40.0,13.8,12.6,6.4,0.0,11128.0,2773.0,537.6,5.4,0,0,1,0,0,0,0,1,1,0.48600000000000004
2017-07-23 12:28:32.235,40.62,20.2,20.6,18.4,-898.0,76566.0,2759.0,537.6,8.5,0,0,1,0,0,0,0,1,1,0.5640000000000001
2017-07-23 12:28:32.638,20.0,21.2,14.4,5.2,-33.0,15875.0,2751.0,537.6,2.4,0,0,1,0,0,0,0,1,1,0.403
2017-07-23 12:28:33.756,69.72,52.2,28.4,3.8,-4.0,56334.0,2778.0,537.6,35.1,0,0,1,0,0,0,0,1,1,1.118
2017-07-23 12:28:34.768,59.4,49.4,4.8,4.4,-12.0,10433.0,2773.0,537.6,2.8,0,0,1,0,0,0,0,1,1,1.012
2017-07-23 12:28:35.298,19.37,35.4,9.0,9.0,-77.0,28674.0,2767.0,537.6,13.7,0,0,1,0,0,0,0,1,1,0.53
2017-07-23 12:28:36.208,49.09,49.4,4.8,4.6,-8.0,10908.0,2765.0,537.6,2.0,0,0,1,0,0,0,0,1,1,0.91
2017-07-23 12:28:37.154,57.59,44.0,3.8,3.8,67.0,6354.0,2757.0,537.6,1.8,0,0,1,0,0,0,0,1,1,0.9460000000000001
2017-07-23 12:28:37.760,15.15,49.6,4.8,4.6,-6.0,10952.0,2762.0,537.6,7.9,0,0,1,0,0,0,0,1,1,0.606
2017-07-23 12:28:38.324,55.15,5.2,3.0,2.6,-419.0,406.0,2820.0,537.6,0.2,0,1,0,0,0,0,0,1,0,0.5640000000000001
